,ack,acn,ada,adh,ald,atp-synth,biomass,csn,cytbd,eda,edd,ex-P,ex-ace,ex-co2,ex-etoh,ex-for,ex-h2o,ex-lac,ex-o2,ex-suc,fbp,frd,fum,gap,gdh,glh,gln,glt,icd,icl,kgd,ldh,mas,mdh,me,nad-thd,nadh-dh,pdh,pfk,pfl,pgd,pgh,pgi,pgk,pgm,ppc,ppck,pta,pts,pyk,rpe,rpi,scs,sdh,tal,tim,tkt1,tkt2,zwf
122,0.0089855694449868,0.0060619065505069,0.9798562308884716,0.9798562308884716,0.0,0.0016361783161847,0.0053645190717236,0.0060619065505069,0.0,0.5232015449823507,0.5232015449823507,0.0065447132677431,0.0089855694449868,0.9914167694870446,0.9798562308884716,0.0,0.4149723727254975,0.0,0.0,0.0,0.0,0.0,0.0,0.5210020921637252,0.0,0.5247036103221929,0.053323319564401,0.0384636017393916,0.0060619065505069,0.0,0.0,0.0,0.0,0.0,0.0,0.4212220374434847,0.0,1.0,0.0,0.0,0.0015020653398422,0.5210020921637252,0.0021994528186256,0.5210020921637252,0.5210020921637252,0.0161472024033045,0.0,0.0089855694449868,0.5271712890935035,-0.0335818893849042,-0.0021994528186256,0.0037015181584678,0.0,0.0,0.0,0.0,0.0,-0.0021994528186256,0.5247036103221929
123,0.0089072055317089,0.0060090401493143,0.9800319064074704,0.9800319064074704,-0.0021802712040386,0.00162190906631,0.0053177346458852,0.0060090401493143,0.0,0.5251794735431745,0.5251794735431745,0.0064876362682182,0.0089072055317089,0.9914916245653924,0.9800319064074704,0.0,0.4178941770804558,0.0,0.0,0.0,0.0021802712040386,0.0,0.0,0.5186386599310584,0.0,0.5266684392437841,0.0528582823716421,0.038128157406173,0.0060090401493143,0.0,0.0,0.0,0.0,0.0,0.0,0.4240893379423462,0.0,1.0,0.0,0.0,0.0014889657006096,0.5186386599310584,0.0,0.5186386599310584,0.5186386599310584,0.0160063812815536,0.0,0.0089072055317089,0.526934325975185,-0.0354692900832304,-0.0021802712040386,0.0036692369046483,0.0,0.0,0.0,-0.0021802712040386,0.0,-0.0021802712040386,0.5266684392437841
124,0.0097344104157565,0.0065670947874671,0.9781774859064436,0.9781774859064436,0.0,0.0017725344331949,0.0058115883080114,0.0065670947874671,0.0,0.5251351194274306,0.5251351194274306,0.0070901377360343,0.0097344104157565,0.9907014587091344,0.9781774859064436,0.0,0.4078863253329887,0.0,0.0,0.0,0.0,0.0,0.0,0.5227523682219921,0.04166908816317,0.5267623641534135,0.0160980996092213,0.0,0.0065670947874671,0.0,0.0,0.0,0.0,0.0,0.0,0.4146568257112037,0.0,1.0,0.0,0.0,0.0016272447259828,0.5227523682219921,0.0023827512054385,0.5227523682219921,0.5227523682219921,0.0174928808043156,0.0,0.0097344104157565,0.5294356947765307,-0.0363805428037257,-0.0023827512054385,0.0040099959314213,0.0,0.0,0.0,0.0,0.0,-0.0023827512054385,0.5267623641534135
125,0.0096425076290502,0.0065050946985295,0.9783835127538704,0.9783835127538704,-0.0023602555979538,0.0017557998959209,0.0057567209726635,0.0065050946985295,0.0,0.5272580738032729,0.5272580738032729,0.0070231995869074,0.0096425076290502,0.9907892464456728,0.9783835127538704,0.0,0.4111162281960663,0.0,0.0,0.0,0.0023602555979538,0.0,0.0,0.5201773070061876,0.041275689368775,0.5288699556753609,0.0159461170903449,0.0,0.0065050946985295,0.0,0.0,0.0,0.0,0.0,0.0,0.4178228081286067,0.0,1.0,0.0,0.0,0.0016118818720878,0.5201773070061876,0.0,0.5201773070061876,0.5201773070061876,0.0173277301249447,0.0,0.0096425076290502,0.5291577917230269,-0.0383973288824432,-0.0023602555979538,0.0039721374700417,0.0,0.0,0.0,-0.0023602555979538,0.0,-0.0023602555979538,0.5288699556753609
126,0.0,0.0064594805738498,0.98768125607501,0.98768125607501,0.0,0.0017434881201207,0.0057163544904477,0.0064594805738498,0.0,0.5229130542489712,0.5229130542489712,0.0069739524787871,0.0,1.0,0.98768125607501,0.0,0.407585602408385,0.0,0.0,0.0,0.0,0.0,0.0,0.5237609801650175,0.0409862616950011,0.5340885272765501,0.0158343019383876,0.0,0.0064594805738498,0.0,0.0,0.0,0.0,0.0,0.0,0.4333949429323241,0.0,0.9995712734145308,0.0,0.0,0.0111754730275789,0.5237609801650175,-0.0040395571732271,0.5237609801650175,0.5237609801650175,0.0172062270159594,0.0,0.0,0.5303347878280997,-0.0357843791094906,0.0040395571732271,0.0071359158560476,0.0,0.0,0.0031916312571807,0.0,0.0031916312571807,0.0008479259160463,0.5340885272765501
127,0.0025557087076138,0.0064897771637909,0.9854985067779783,0.9854985067779783,0.0,0.0017516655180324,0.0057431656318594,0.0064897771637909,0.0,0.5236618424069744,0.5236618424069744,0.0070066620721297,0.0025557087076138,0.997875028716002,0.9854985067779783,0.0,0.4077934757626645,0.0,0.0,0.0,0.0,0.0,0.0,0.5236618424069744,0.0411784975890504,0.5323340225124135,0.0159085688046648,0.0,0.0064897771637909,0.0,0.0,0.0,0.0,0.0,0.0,0.4286124511825341,0.0,1.0,0.0,0.0,0.008672180105439,0.5236618424069744,-0.0023546979110943,0.5236618424069744,0.5236618424069744,0.0172869285567315,0.0,0.0025557087076138,0.5302664828860651,-0.0359522168620264,0.0023546979110943,0.006317482197848,0.0,0.0,0.0023546979110943,0.0,0.0023546979110943,0.0,0.5323340225124135
128,0.0,0.0059700966837967,0.9886145501291572,0.9886145501291572,0.0,0.0016113977780675,0.0052832714018813,0.0059700966837967,0.0,0.5211771128689855,0.5211771128689855,0.0064455911107027,0.0,1.0,0.9886145501291572,0.0,0.4145871123399093,0.0,0.0,0.0,0.0,0.0,0.0,0.5219607981268972,0.0,0.5315059084585115,0.0525157177331642,0.037881055950094,0.0059700966837967,0.0,0.0,0.0,0.0,0.0,0.0,0.4384410827190038,0.0,0.9996037546445062,0.0,0.0,0.0103287955895259,0.5219607981268972,-0.0037335117906418,0.5219607981268972,0.5219607981268972,0.0159026469193962,0.0,0.0,0.5280365602381988,-0.0330732789751187,0.0037335117906418,0.0065952838004514,0.0,0.0,0.0029498265327301,0.0,0.0029498265327301,0.0007836852579117,0.5315059084585115
129,0.0023612437661582,0.0059959673127479,0.9866019314452876,0.9866019314452876,0.0,0.0016183805582093,0.0053061657636656,0.0059959673127479,0.0,0.5218614029513517,0.5218614029513517,0.0064735222328373,0.0023612437661582,0.9980367186672496,0.9866019314452876,0.0,0.4148095086494916,0.0,0.0,0.0,0.0,0.0,0.0,0.5218614029513517,0.0,0.5298737132557167,0.0527432876996403,0.0380452085334449,0.0059959673127479,0.0,0.0,0.0,0.0,0.0,0.0,0.4340443595468254,0.0,1.0,0.0,0.0,0.008012310304365,0.5218614029513517,-0.0021755279649802,0.5218614029513517,0.5218614029513517,0.0159715589531002,0.0,0.0023612437661582,0.5279634935785962,-0.0332165976866319,0.0021755279649802,0.0058367823426216,0.0,0.0,0.0021755279649802,0.0,0.0021755279649802,0.0,0.5298737132557167
130,0.0056552938359476,0.0060287566356918,0.983247525809734,0.983247525809734,0.0,0.0016272307732827,0.0053351828628633,0.0060287566356918,0.0,0.5225278096400265,0.5225278096400265,0.0065089230931308,0.0056552938359476,0.9947448448804076,0.983247525809734,0.0,0.4148904953713673,0.0,0.0,0.0,0.0,0.0,0.0,0.5214340971530301,0.0,0.5273027983043673,0.0530317176621119,0.0382532611304491,0.0060287566356918,0.0,0.0,0.0,0.0,0.0,0.0,0.4276682583300031,0.0,1.0,0.0,0.0,0.0047749886621533,0.5214340971530301,0.0,0.5214340971530301,0.5214340971530301,0.0160589004196249,0.0,0.0056552938359476,0.5275695574464169,-0.0333982447250247,0.0,0.0047749886621533,0.0,0.0,0.0010937124869963,0.0,0.0010937124869963,-0.0010937124869963,0.5273027983043673
131,0.006123804847862,0.0065282070539918,0.9818596724350674,0.9818596724350674,0.0,0.001762038187066,0.0057771743834347,0.0065282070539918,0.0,0.5243941188357705,0.5243941188357705,0.0070481527482641,0.006123804847862,0.9943094832326722,0.9818596724350674,0.0,0.4078396256387236,0.0,0.0,0.0,0.0,0.0,0.0,0.5232097980870478,0.0414223403332537,0.5295646899111948,0.0160027730437722,0.0,0.0065282070539918,0.0,0.0,0.0,0.0,0.0,0.0,0.4216759582893,0.0,1.0,0.0,0.0,0.0051705710730556,0.5232097980870478,0.0,0.5232097980870478,0.5232097980870478,0.017389294896744,0.0,0.006123804847862,0.5298535486291822,-0.0361651116440912,0.0,0.0051705710730556,0.0,0.0,0.0011843207487225,0.0,0.0011843207487225,-0.0011843207487225,0.5295646899111948
